Название вакансии,URL,Название компании,Описание
Middle Full Stack Python разработчик,https://spb.hh.ru/vacancy/29793612?query=python, Радиофид,Разработка клиент-серверного ПО для мониторинга/управления сетевым оборудованием. Vanila JS. CSS3. VueJS (VueX)/ ReactJS (Redux). GIT. Micropython. Mysql. Postgresql. Sass/SCSS. AngularJS. KnockoutJS.
Python-разработчик (full stack),https://spb.hh.ru/vacancy/29401196?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Senior Python Developer,https://spb.hh.ru/vacancy/29662635?query=python, Investex Ltd,"Знаком с методологиями управления проектами (Agile, Scrum, Kanban etc.). Готов работать в режиме высокой производительности и укладываться в рамки спринта. Имеет опыт работы в продакшене на коммерческих проектах со стэком технологий: Python/Django, Git, PostgreSQL, Docker, Javascript. Имеет опыт работы..."
Python Backend Middle разработчик,https://spb.hh.ru/vacancy/29694763?query=python,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,"Ищем в команду Python Backend Middle разработчика (Санкт-Петербург) на поддержку и развитие существующего проекта. Занимает лидирующую позицию в своей сфере. Что мы хотим от вас: Python 2.7, 3.x+, Flask, SQL. "
Full Stack Developer / Разработчик (Python),https://spb.hh.ru/vacancy/27379478?query=python, Adhack,"Участвовать в разработке систем сбора, обработки, хранения, анализа и визуализации данных. Отвечать за клиентскую часть всех продуктов. Участвовать в проектировании... ...используется в рекламных кампаниях с бюджетами в миллионы долларов. Английский язык на уровне, достаточном для чтения технической документации. Знание Python."
Web Developer (Python),https://spb.hh.ru/vacancy/29664757?query=python,ООО Вайт Код,"Разрабатывать новые фичи и улучшать имеющиеся, заниматься расширением функциональности высоконагруженных систем. Проектирование архитектуры, разработка и развитие веб-проектов.  Хорошие знания Python (Django). Опыт разработки высоконагруженных систем. Большой опыт работы с базами данных и NoSQL (postgresql, redis, memcached). "
Python/Data Science Trainee,https://spb.hh.ru/vacancy/29771106?query=python, Soft-Werke,"Разработка, поддержка и оптимизация веб-сервисов для поиска, обработки, классификации и анализа корпоративных данных с использованием машинного обучения, обработки естественного... Желание развиваться в направлении машинного обучения. Обязательно знание Python, SQL. Желательно понимание Docker, Cloud Foundry, Jenkins, Java. Уровень устного и..."
Python developer (Программист Python),https://spb.hh.ru/vacancy/29226021?query=python, Санкт-Петербургский филиал компании ГАЗПРОМ Германия ГмбХ,"Contributing to the improvements of the Python code library, from low-level numerical performance of algorithms to integration with data... Good knowledge of Python and its standard library. Knowledge of and experience using the Python scientific stack: numpy, scipy, pandas..."
"Python Developer (Openstack), XtremIO",https://spb.hh.ru/vacancy/29439232?query=python, Dell EMC,"Experience at least with one of major hypervisor providers VMware, VEEAM, OpenStack, OpenShift, Kubernetes, etc. Development of plugins for vCenter... Required Competencies. Proven experience with Python/Java/C#/Go. Experience in Test Driven Development (TDD)/continuous delivery methodologies. "
Back-End Web Developer (Python),https://spb.hh.ru/vacancy/29386811?query=python, Soshace,"If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects... Do you have more than 3-year commercial experience in web development on projects with Python? Can you provide a..."
"Gameplay Programmer (C++, Python)",https://spb.hh.ru/vacancy/29530189?query=python," Wargaming, Saint Petersburg (Lesta Studio)","...и разработка новых фичей для метаигры (Python). Оптимизация кодовой базы при портировании игры с PC на консоли (C++ и Python). Опыт работы в геймдеве. Знание основных алгоритмов‚ скорости их работы. Опыт разработки логики, сети или интерфейсов. Знание Python или желание..."
Middle Python developer,https://spb.hh.ru/vacancy/29706628?query=python, B2Broker Санкт-Петербург," Имеет опыт коммерческой разработки на Python 3 от 2-х лет. Знает и умеет использовать: итераторы, генераторы, потоки. "
Backend Engineer (Python),https://spb.hh.ru/vacancy/28526311?query=python," ACQUIRED IO, INC","Разрабатывать ключевые компоненты системы — создавать как глубоко бэкендные механизмы, так и реализовывать пользовательские сценарии. Работать с большими объемами данных.  Сейчас над продуктом работают более 10 инженеров. Стек Python 3.5, Django 1.11 (latest LTS), Django Rest Framework, Pandas..."
Разработчик Python,https://spb.hh.ru/vacancy/28334352?query=python," Европром, холдинг","Профилирование кода по производительности и потреблению памяти. От вас: От 2 лет опыта разработки на python. Опыт веб-разработки, желательно с использованием django framework. Понимание принципов работы..."
Программист игровой логики (Python),https://spb.hh.ru/vacancy/28946910?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Реализация и сопровождение задач игровой логики: программирование клиент-серверного взаимодействия, имплементация новых технологий и т.д. Знание Python или желание научиться. Хорошие знания принципов ООП. Умение разбираться в чужом коде. Умение быстро и качественно выполнять поставленные..."
QA Automation Engineer (Selenium/Python),https://spb.hh.ru/vacancy/29369325?query=python, TradingView,Написание интеграционных тестов на python. – Написание тест планов и тест кейсов. – Ведение тестовой документации. – Постоянное взаимодействие с разработчиками в рамках... Опыт автоматизированного тестирования на Selenium / Python в условиях CI/CD от 2х лет. – Знание Python на уровне уверенного junior...
Программист Python,https://spb.hh.ru/vacancy/29143269?query=python, ИнфоТеКС,Разработка сервиса электронного документооборота. Проведение code review и участие в других практиках разработки. Опыт разработки на Python от 1 года. Уверенные знания Python Django Framework. Навыки работы с технологиями обмена информацией с. 
Python developer,https://spb.hh.ru/vacancy/29791658?query=python, NOVARDIS,"15 лет экспертизы внедрения и сопровождения SAP. - Работа с модулем NumPy. - Работа с фреймворком jQuery. - Работа с один из фреймворков... Необходимые навыки и знания: - Знание REST API, JSON. Будет преимуществом: - Умение работать с NodeJS."
Python developer,https://spb.hh.ru/vacancy/29783899?query=python,ЗАО МСМ,"Ищем Python Back-end Middle разработчика с горящими глазами из Санкт-Петербурга на разработку, поддержку и развитие нашего внутреннего it... Что мы хотим от вас: 1. Уверенные знания языка программирования Python 3.7. 4. Умение читать и разбираться в чужом..."
Senior QA Automation Engineer (Python),https://spb.hh.ru/vacancy/28432449?query=python, ООО «Аптик СПб»,"Analyze business requirements for features and prepare comprehensive test cases to cover the areas that needs to be covered by... Deep knowledge of Selenium, Python 3. Experience in testing of WEB applications and REST APIs (or GraphQL API). "
QA Engineer (Python) / Тестировщик ПО,https://spb.hh.ru/vacancy/29531487?query=python," Протей, НТЦ","Поддержка существующих и разработка новых функциональных автотестов (Python + Robot Framework). Разработка, развертывание, поддержка и обновление тестовых стендов (используются KVM... Опыт программирования на Python (коммерческие или учебные проекты, pet-project). Linux - на уровне опытного пользователя (bash, установка и настройка ОС..."
Python Developer,https://spb.hh.ru/vacancy/28739305?query=python, Wrike,"Разрабатывать внутренние сервисы и утилиты для автоматизации и оптимизации задач продуктовой разработки, эксплуатации и тестирования. Развивать и поддерживать Continuous Integration... Опыт разработки на Python не менее 4 лет. Понимание процесса разработки (жизненного цикла ПО), желание и умение оптимизировать процессы интеграции..."
Разработчик Python,https://spb.hh.ru/vacancy/27727970?query=python, Selectel,Улучшение существующих внутренних сервисов компании и участие в создании новых. Написание тестов. Рефакторинг существующего кода. Написание документации. Умение читать и править чужой код. Отличное знание Python от 2.7. Знание технологий REST. Хорошее знание и опыт работы...
Разработчик Python,https://spb.hh.ru/vacancy/29390938?query=python,АО Экзакт Системс,"Разработка базы данных Python, автоматизирующей и систематизирующей внесенные данные о результатах проводимых (проведенных) сортировочных и ремонтных работ на участках Завода... Опыт разработки ПО на языке Python (в подтверждение - наличие выполненных проектов). Уверенные знания структур данных и алгоритмов. Опыт проектирования архитектуры..."
Junior Python Developer,https://spb.hh.ru/vacancy/29795619?query=python,ООО АппВелокс,"Разработка новых и поддержка существующих проектов на Python. Написание тестов и документации к собственному коду. Знание языка программирования Python. Знание языка программирования JavaScript. Опыт использования одного или нескольких web-фреймворков на Python (Django, Flask, Pyramid..."
Python разработчик,https://spb.hh.ru/vacancy/29585940?query=python, LG Electronics Inc.,Разработка кросс-платформенных Web-сервисов и Web-приложений. Разработка и оптимизация кросс-платформенных Python модулей. Работа в распределённой команде разработчиков... Опыт программирования на Python не менее 2-х лет. Опыт применения Django для создания Web-приложений и сервисов. 
Python developer,https://spb.hh.ru/vacancy/29782461?query=python, Сбербанк для экспертов,Разработка серверной части высоконагруженного приложения для распознавания запросов пользователя на естественном языке. Разработка отказоустойчивой архитектуры способной работать под большими нагрузками. Требования: - Уверенные знания Python. - Желателен опыт работы с одним из функциональных языков...
Разработчик Python,https://spb.hh.ru/vacancy/29147895?query=python,ООО Умное пространство,"Проектирование и разработка одной из важнейших частей нашего продукта — серверной платформы. Проектирование схемы хранения данных. Совместная разработка клиент-серверного API... Не менее чем 3 года опыта разработки на Python, знание основных фреймворков. Хорошее знание и опыт использования SQL, в частности..."
